"pth","Points:0","Points:1","Points:2"
0.5,0.035063,0.0027063,0
0.5,0.011188,0.008119,0
0.5,0.010876,0.0030311,0
0.5,0.010938,0.002924,0
0.5,0.037188,0.0059539,0
0.5,0.037312,0.0059539,0
0.5,0.028312,0.0061704,0
0.5,0.028188,0.0061704,0
0.5,0.008625,0.0047631,0
0.5,0.0086875,0.0048714,0
0.5,0.010625,0.0051962,0
0.5,0.010562,0.0050879,0
0.5,0.028375,0.0060622,0
0.5,0.037125,0.0060622,0
0.5,0.035688,0.00682,0
0.5,0.0023123,0.002273,0
0.5,0.0024375,0.0022733,0
0.5,0.010438,0.008119,0
0.5,0.0084375,0.008119,0
0.5,0.0083125,0.008119,0
0.5,0.027419,0.005922,0
0.5,0.027463,0.0058457,0
0.5,0.0345,0.0075777,0
0.5,0.034563,0.0074695,0
0.5,0.029625,0.0051962,0
0.5,0.029669,0.0050563,0
0.5,0.032931,0.0093049,0
0.5,0.0021877,0.002273,0
0.5,0.014312,0.007686,0
0.5,0.014188,0.007686,0
0.5,0.02225,0.0028146,0
0.5,0.0071875,0.007253,0
0.5,0.01125,0.0075777,0
0.5,0.011188,0.0074695,0
0.5,0.010313,0.008119,0
0.5,0.010188,0.008119,0
0.5,0.027938,0.0063869,0
0.5,0.027812,0.0063869,0
0.5,0.027688,0.0063869,0
0.5,0.010813,0.0031394,0
0.5,0.00875,0.0049796,0
0.5,0.0065625,0.0020568,0
0.5,0.0064375,0.0020568,0
0.5,0.034688,0.0074695,0
0.5,0.017938,0.0031393,0
0.5,0.018062,0.0031393,0
0.5,0.011125,0.0073612,0
0.5,0.017312,0.007253,0
0.5,0.017438,0.007253,0
0.5,0.0065625,0.0063869,0
0.5,0.0066875,0.0063869,0
0.5,0.035688,0.0022733,0
0.5,0.035625,0.0021651,0
0.5,0.036813,0.0027063,0
0.5,0.0032529,0.0023816,0
0.5,0.010563,0.0048714,0
0.5,0.0105,0.0049796,0
0.5,0.0060625,0.0066034,0
0.5,0.006,0.0067117,0
0.5,0.037438,0.0059539,0
0.5,0.038313,0.0035724,0
0.5,0.038437,0.0035724,0
0.5,0.029562,0.0059539,0
0.5,0.029469,0.0058457,0
0.5,0.029733,0.0062787,0
0.5,0.029679,0.006185,0
0.5,0.026438,0.0063869,0
0.5,0.0069375,0.007253,0
0.5,0.0068747,0.0073612,0
0.5,0.0040625,0.0074695,0
0.5,0.0041875,0.0074695,0
0.5,0.0385,0.0036806,0
0.5,0.027331,0.005922,0
0.5,0.028063,0.0061704,0
0.5,0.0083125,0.0018403,0
0.5,0.0084375,0.0018403,0
0.5,0.016938,0.0063869,0
0.5,0.030875,0.0086602,0
0.5,0.030936,0.0087679,0
0.5,0.005625,0.0030311,0
0.5,0.0056875,0.0031393,0
0.5,0.010685,0.0053083,0
0.5,0.03,0.0058457,0
0.5,0.030063,0.0059539,0
0.5,0.030937,0.0024898,0
0.5,0.030875,0.0025981,0
0.5,0.036188,0.007686,0
0.5,0.036063,0.007686,0
0.5,0.0081875,0.008119,0
0.5,0.0028125,0.007686,0
0.5,0.0029375,0.007686,0
0.5,0.036563,0.0035724,0
0.5,0.036438,0.0035724,0
0.5,0.030188,0.0061704,0
0.5,0.03025,0.0062787,0
0.5,0.0026875,0.0022733,0
0.5,0.0028125,0.0022733,0
0.5,0.0063591,0.0021651,0
0.5,0.029625,0.0060622,0
0.5,0.0018125,0.0079025,0
0.5,0.010313,0.0059539,0
0.5,0.01025,0.0058457,0
0.5,0.034438,0.007686,0
0.5,0.03093,0.0089809,0
0.5,0.030994,0.0088731,0
0.5,0.018188,0.0031393,0
0.5,0.010063,0.008119,0
0.5,0.0068125,0.0020568,0
0.5,0.0069375,0.0020568,0
0.5,0.036688,0.0035724,0
0.5,0.03025,0.0036806,0
0.5,0.030313,0.0035724,0
0.5,0.037687,0.0042219,0
0.5,0.037563,0.0042219,0
0.5,0.036625,0.0073612,0
0.5,0.034813,0.0074695,0
0.5,0.019063,0.0053044,0
0.5,0.019125,0.0051962,0
0.5,0.036438,0.0063869,0
0.5,0.036375,0.0064952,0
0.5,0.00675,0.0062787,0
0.5,0.019,0.0054127,0
0.5,0.0063125,0.0079025,0
0.5,0.0064375,0.0079025,0
0.5,0.030875,0.0073612,0
0.5,0.030813,0.007253,0
0.5,0.036438,0.0074695,0
0.5,0.036313,0.0074695,0
0.5,0.030375,0.0034641,0
0.5,0.035563,0.0020568,0
0.5,0.037312,0.0029228,0
0.5,0.037188,0.0029228,0
0.5,0.027188,0.0059539,0
0.5,0.0061875,0.0066034,0
0.5,0.033687,0.0020568,0
0.5,0.033563,0.0020568,0
0.5,0.0066875,0.0020568,0
0.5,0.030375,0.0064952,0
0.5,0.034437,0.0022735,0
0.5,0.034313,0.0022735,0
0.5,0.0086875,0.008119,0
0.5,0.0088125,0.008119,0
0.5,0.0078125,0.0018403,0
0.5,0.00775,0.0019486,0
0.5,0.030875,0.001299,0
0.5,0.030813,0.0014073,0
0.5,0.011125,0.0060622,0
0.5,0.011188,0.0061704,0
0.5,0.035437,0.008119,0
0.5,0.010375,0.0060622,0
0.5,0.025688,0.0092019,0
0.5,0.025563,0.0092019,0
0.5,0.028062,0.00075777,0
0.5,0.027937,0.00075777,0
0.5,0.030125,0.0060622,0
0.5,0.0076875,0.0020568,0
0.5,0.036688,0.0027063,0
0.5,0.0049375,0.007253,0
0.5,0.0050625,0.007253,0
0.5,0.032865,0.0094015,0
0.5,0.031813,0.00097428,0
0.5,0.031937,0.00097428,0
0.5,0.034062,0.0022733,0
0.5,0.033938,0.0022733,0
0.5,0.0043125,0.0024898,0
0.5,0.0041875,0.0024898,0
0.5,0.028063,0.0046549,0
0.5,0.028125,0.0047631,0
0.5,0.011063,0.0059539,0
0.5,0.037063,0.0061704,0
0.5,0.029817,0.0068126,0
0.5,0.0079375,0.0055209,0
0.5,0.0080625,0.0055209,0
0.5,0.034687,0.0016238,0
0.5,0.034813,0.0016238,0
0.5,0.017563,0.0029228,0
0.5,0.028188,0.0048714,0
0.5,0.030563,0.0031393,0
0.5,0.029063,0.0042219,0
0.5,0.028938,0.0042219,0
0.5,0.032803,0.0095103,0
0.5,0.034875,0.0073612,0
0.5,0.025313,0.0092022,0
0.5,0.025438,0.0092022,0
0.5,0.039123,0.0060613,0
0.5,0.039186,0.005953,0
0.5,0.032688,0.0014073,0
0.5,0.03275,0.0015155,0
0.5,0.027625,0.0064952,0
0.5,0.029188,0.0042219,0
0.5,0.029313,0.0042219,0
0.5,0.037813,0.0066034,0
0.5,0.0050028,0.0028146,0
0.5,0.0050639,0.0029204,0
0.5,0.029713,0.0049796,0
0.5,0.029669,0.004903,0
0.5,0.036562,0.0063869,0
0.5,0.02825,0.0049796,0
0.5,0.0089375,0.008119,0
0.5,0.0083125,0.0053044,0
